"GHCN_ID","Start_yr","End_yr","Yr_count","HofX","HofY","HofXY","HXofY","s","t","P","C","M","CbyP","MbyP","Mutual","GC","C_freedom","GM","M_freedom","GP","P_freedom"
"RSM00023032",1914,2017,104,0.602059991327962,0.943184639574205,1.04098949152372,0.438929500195755,10,4,0.561070499804245,0.0568153604257953,0.50425513937845,0.101262426817339,0.898737573182661,0.50425513937845,1131.02117724531,9,419.540275962871,27,1550.56145320818,36
"RSM00023058",1959,2017,59,0.602059991327962,0.901651404151167,0.995733203444517,0.393673212116555,10,4,0.606326787883445,0.098348595848833,0.507978192034612,0.162203943177485,0.837796056822516,0.507978192034612,661.240701133839,9,239.765706640337,27,901.006407774176,36
"RSM00023114",1959,2013,55,0.602059991327962,0.937601335696932,1.04221645927039,0.440156467942423,10,4,0.559843532057577,0.0623986643030676,0.497444867754509,0.111457328217646,0.888542671782354,0.497444867754509,600.59285321073,9,218.875741811984,27,819.468595022714,36
"RSM00023146",1950,1994,45,0.602059991327962,0.896075116671871,0.958593679342602,0.35653368801464,10,4,0.64346631198536,0.103924883328129,0.539541428657231,0.161507885327326,0.838492114672674,0.539541428657232,506.343591475983,9,194.234914316603,27,700.578505792586,36
"RSM00023205",1926,2017,92,0.602059991327962,0.833599383415565,0.974488277133889,0.372428285805927,10,4,0.627571714194073,0.166400616584435,0.461171097609639,0.26514996265905,0.73485003734095,0.461171097609638,1081.17348224976,9,339.421927840694,27,1420.59541009046,36
"RSM00023242",1935,2017,83,0.602059991327962,0.901565426264902,0.991998244015743,0.389938252687781,10,4,0.610061747312219,0.0984345737350985,0.511627173577121,0.161351820809577,0.838648179190423,0.511627173577121,930.277058708152,9,339.720443255208,27,1269.99750196336,36
"RSM00025173",1936,2013,78,0.602059991327962,0.848420893734361,0.870751256207439,0.268691264879477,10,4,0.731308735120523,0.151579106265639,0.579729628854884,0.207271018362249,0.792728981637751,0.579729628854884,907.398460338044,9,361.751288405447,27,1269.14974874349,36
"RSM00025282",1959,2017,59,0.602059991327962,0.833804937481271,0.902406010710847,0.300346019382884,10,4,0.699653980617116,0.166195062518729,0.533458918098387,0.237538936564243,0.762461063435757,0.533458918098387,693.26423340203,9,251.792609342439,27,945.056842744468,36
"RSM00025372",1955,1995,41,0.602059991327962,0.81578647232335,0.89852292831419,0.296462936986228,10,4,0.703537063013772,0.18421352767665,0.519323535337123,0.261839123140899,0.738160876859101,0.519323535337123,487.669947579988,9,170.338119590576,27,658.008067170564,36
"RSM00025378",1950,2017,68,0.602059991327962,0.893252202195042,0.951024345412849,0.348964354084886,10,4,0.651035645915114,0.106747797804958,0.544287848110155,0.163966133766624,0.836033866233375,0.544287848110156,766.677092594658,9,296.092589371925,27,1062.76968196658,36
"RSM00027947",1936,2013,78,0.602059991327962,0.76482849814737,0.915968582601783,0.313908591273821,10,4,0.686091408726179,0.23517150185263,0.450919906873549,0.342769926662189,0.657230073337811,0.450919906873549,959.560115184326,9,281.374021889095,27,1240.93413707342,36
"RSM00031369",1881,2017,137,0.602059991327962,0.700898168245666,0.769396523115167,0.167336531787204,10,4,0.832663468212796,0.299101831754334,0.533561636458462,0.35921094556522,0.64078905443478,0.533561636458462,1755.44886952422,9,584.783553558474,27,2340.2324230827,36
"RSM00031436",1936,2013,78,0.602059991327962,0.772331207271118,0.815917522259894,0.213857530931932,10,4,0.786142469068068,0.227668792728882,0.558473676339186,0.289602459715441,0.710397540284559,0.558473676339186,954.878424691107,9,348.487574035652,27,1303.36599872676,36
"RSM00032014",1936,2013,78,0.602059991327962,0.897317299660059,0.897317299660059,0.295257308332096,10,4,0.704742691667904,0.102682700339941,0.602059991327963,0.145702398270954,0.854297601729046,0.602059991327962,876.887103040408,9,375.685434588649,27,1252.57253762906,36
"RSM00032027",1936,2017,82,0.602059991327962,0.839926444087752,0.857021666368863,0.2549616750409,10,4,0.7450383249591,0.160073555912248,0.584964769046852,0.214852780789546,0.785147219210454,0.584964769046852,959.504073682529,9,383.736888494735,27,1343.24096217726,36
"RSM00036307",1949,2017,69,0.602059991327962,0.725342791765459,0.862415335187217,0.260355343859255,10,4,0.739644656140745,0.274657208234541,0.464987447906205,0.371336703313215,0.628663296686785,0.464987447906205,870.63775027818,9,256.673071244225,27,1127.3108215224,36
"SA000040361",1974,2017,44,0.602059991327962,0.780822653520234,0.893550772507246,0.291490781179283,10,4,0.708509218820717,0.219177346479766,0.489331872340951,0.309350027716756,0.690649972283244,0.489331872340951,535.660378694782,9,172.244819064015,27,707.905197758796,36
"SA000040430",1958,2017,60,0.602059991327962,0.590131041370713,0.746559427618322,0.144499436290359,10,4,0.855500563709641,0.409868958629287,0.445631605080354,0.479098408599527,0.520901591400473,0.445631605080354,821.9779447792,9,213.90317043857,27,1035.88111521777,36
"SA000041024",1978,2017,40,0.602059991327962,0.80199422918671,0.9679446919327,0.365884700604737,10,4,0.634115299395263,0.19800577081329,0.436109528581973,0.312255154547008,0.687744845452992,0.436109528581973,480.189076418347,9,139.555049146231,27,619.744125564579,36
"SA000403940",1973,2017,45,0.602059991327962,0.772102076863103,0.901725441585808,0.299665450257846,10,4,0.700334549742154,0.227897923136897,0.472436626605257,0.325412937603611,0.674587062396389,0.472436626605257,550.973885807139,9,170.077185577893,27,721.051071385032,36
"SG000001627",1934,2017,84,0.602059991327962,0.74694937752672,1.06932869609753,0.467268704769566,10,4,0.532731295230434,0.25305062247328,0.279680672757154,0.475006114224663,0.524993885775337,0.279680672757154,1045.38720079404,9,187.945412092807,27,1233.33261288685,36
"SG00000O067",1940,1983,44,0.602059991327962,0.699208638223861,0.843406747311675,0.241346755983713,10,4,0.758653244016287,0.300791361776139,0.457861882240149,0.396480690155305,0.603519309844695,0.457861882240149,564.388512079105,9,161.167382548532,27,725.555894627637,36
"SG00000O077",1940,1963,24,0.602059991327962,0.640998816051777,0.935569387548362,0.3335093962204,10,4,0.6664906037796,0.359001183948223,0.307489419831377,0.53864402875654,0.46135597124346,0.307489419831377,319.024565172916,9,59.0379686076245,27,378.06253378054,36
"SG000061687",1973,2017,45,0.602059991327962,0.649897361209387,0.867223087571927,0.265163096243964,10,4,0.734836903756036,0.350102638790613,0.384734264965423,0.476435841750874,0.523564158249125,0.384734264965423,594.967583442477,9,138.504335387552,27,733.471918830029,36
"SP000060338",1961,2017,57,0.602059991327962,0.687150213763271,0.823762030223484,0.221702038895521,10,4,0.778297961104479,0.312849786236729,0.465448174867749,0.4019666013165,0.598033398683499,0.46544817486775,736.638304929233,9,212.244367739694,27,948.882672668927,36
"SU000062641",1957,2014,58,0.602059991327962,0.621026704712331,0.869001623874374,0.266941632546412,10,4,0.733058367453588,0.378973295287669,0.354085072165919,0.51697560810076,0.48302439189924,0.354085072165919,780.243092162716,9,164.295473484986,27,944.538565647702,36
"SU000062762",1961,2015,55,0.602059991327962,0.626318179570483,0.865555126767638,0.263495135439675,10,4,0.736504864560325,0.373681820429517,0.362823044130808,0.507371829312486,0.492628170687514,0.362823044130808,737.557441906368,9,159.642139417555,27,897.199581323923,36
"SU000062781",1961,2015,55,0.602059991327962,0.633453753422155,0.812498415212485,0.210438423884523,10,4,0.789561576115477,0.366546246577845,0.423015329537632,0.46424022858508,0.53575977141492,0.423015329537632,734.417789411632,9,186.126744996558,27,920.54453440819,36
"SU000062790",1961,2015,55,0.602059991327962,0.563186069368665,0.824106099101186,0.222046107773223,10,4,0.777953892226777,0.436813930631335,0.341139961595441,0.561490770848926,0.438509229151074,0.341139961595441,765.335570395168,9,150.101583101994,27,915.437153497162,36
"SU000062840",1957,2010,54,0.602059991327962,0.612055297950702,0.917494794646381,0.315434803318418,10,4,0.684565196681582,0.387944702049298,0.296620494632283,0.566702344685143,0.433297655314857,0.296620494632283,730.308871458725,9,128.140053681146,27,858.448925139871,36
"SWE00140960",1965,2016,52,0.602059991327962,0.85951889244528,0.991381222812889,0.389321231484927,10,4,0.610678768515073,0.14048110755472,0.470197660960353,0.230040922982003,0.769959077017997,0.470197660960353,600.315539428287,9,195.602226959507,27,795.917766387794,36
"TDW00011621",1945,1955,11,0.602059991327962,0.373767861026378,0.881824124464732,0.279764133136769,10,4,0.720235866863231,0.626232138973622,0.0940037278896093,0.869482023577895,0.130517976422105,0.0940037278896093,169.735916413155,9,8.27232805428562,27,178.00824446744,36
"TH000048303",1951,2017,67,0.602059991327962,0.727635770679085,0.885650241787984,0.283590250460021,10,4,0.716409749539979,0.272364229320915,0.444045520219064,0.380179400818883,0.619820599181117,0.444045520219064,844.172836760819,9,238.008398837418,27,1082.18123559824,36
"TH000048330",1952,2017,66,0.602059991327962,0.705266394895175,0.947238269375474,0.345178278047512,10,4,0.654821721952488,0.294733605104825,0.360088116847662,0.450097477258414,0.549902522741586,0.360088116847663,843.384272596204,9,190.126525695566,27,1033.51079829177,36
"TH000048331",1951,1980,30,0.602059991327962,0.662478984225466,0.839042500733512,0.236982509405549,10,4,0.763017490594451,0.337521015774534,0.425496474819917,0.442350299875273,0.557649700124727,0.425496474819917,393.625466104459,9,102.11915395678,27,495.744620061239,36
"TH000048455",1951,2017,67,0.602059991327962,0.545957614779424,0.90933365431082,0.307273662982858,10,4,0.692726337017142,0.454042385220576,0.238683951796566,0.65544264878923,0.344557351210771,0.238683951796566,941.552328323037,9,127.934598162959,27,1069.486926486,36
"TH000048456",1943,2017,75,0.602059991327962,0.425051664604177,0.810541929633712,0.208481938305749,10,4,0.791518061694251,0.574948335395823,0.216569726298428,0.726386880123925,0.273613119876075,0.216569726298428,1126.52005703392,9,129.941835779057,27,1256.46189281298,36
"TH000048459",1951,2017,67,0.602059991327962,0.558996392298765,0.907779781079494,0.305719789751532,10,4,0.694280210248468,0.441003607701235,0.253276602547233,0.635195417054173,0.364804582945827,0.253276602547233,934.56354357267,9,135.756258965317,27,1070.31980253799,36
"TO000005352",1945,1972,28,0.602059991327962,0.622640846812338,0.851746665477622,0.24968667414966,10,4,0.75031332585034,0.377359153187662,0.372954172662678,0.502935427356293,0.497064572643707,0.372954172662678,376.307511144703,9,83.5417346764398,27,459.849245821142,36
"TU000017074",1930,2015,86,0.602059991327962,0.718725787812056,0.858187726924894,0.256127735596931,10,4,0.743872264403069,0.281274212187944,0.462598052215125,0.378121655622765,0.621878344377235,0.462598052215125,1089.69520196521,9,318.267459924006,27,1407.96266188921,36
"TU000017090",1929,2017,89,0.602059991327962,0.608015896760678,0.908076883103646,0.306016891775684,10,4,0.693983108224316,0.391984103239322,0.301999004984995,0.564832340433019,0.435167659566981,0.301999004984995,1206.53326771816,9,215.023291549316,27,1421.55655926747,36
